qsar_equations,r2_vals,mse_vals,c_vals
y = ALogP * -66.10 + AATS4m * 14.94 + AATS4v * -13.79 + C1SP3 * 20.27 + LipoaffinityIndex * 30.62 + 1048.83,0.9967668648944302,0.8885962175162719,0-2-4-6-10
y = AATS3m * -11.27 + AATS4m * 8.98 + AATS4v * -3.20 + ATSC3i * 4.69 + 909.57,0.9834008549497694,4.562116034133289,1-2-4-5
y = ALogP * -22.62 + AATS4v * 4.95 + ETA_dBeta * -13.24 + WTPT-3 * -23.92 + -373.67,0.9206480221958623,21.80913108385762,0-4-12-13
y = ALogP * -20.14 + AATS4m * 3.45 + nHaaCH * 52.08 + ETA_dBeta * -8.86 + -581.71,0.9115305946628478,24.314968716611826,0-2-8-12
y = ALogP * 1.09 + AATS4m * 4.51 + AATS3v * -14.52 + XLogP * -24.70 + 2566.51,0.9078572866193161,25.324542250248367,0-2-3-14
y = ALogP * 27.51 + AATS3m * -17.25 + AATS4m * 6.71 + ATSC3i * 6.13 + 957.16,0.9009185423063748,27.231589666909205,0-1-2-5
y = ALogP * -46.09 + AATS3m * 0.97 + AATS4m * 5.38 + DELS2 * -15.15 + -43.03,0.8522897282623826,40.596753450925945,0-1-2-11
y = ALogP * 23.33 + AATS3m * -15.86 + AATS4m * 6.18 + ETA_dBeta * -9.56 + 682.92,0.8316133587683266,46.27945557269495,0-1-2-12
y = ALogP * 4.26 + AATS3m * -4.27 + AATS4m * 2.70 + AATS3v * -7.56 + 1550.01,0.7045497898213317,81.2016605111495,0-1-2-3
y = ALogP * -0.19 + AATS3m * -8.16 + AATS4m * 3.00 + SaaCH * 13.60 + 161.21,0.5893039682006118,112.87587078473507,0-1-2-9
y = ALogP * 27.17 + AATS3m * -15.33 + AATS4m * 9.16 + AATS4v * -6.82 + 1645.98,0.4215333377693472,158.9860216889522,0-1-2-4
y = ALogP * 12.79 + AATS3m * -12.34 + AATS4m * 3.26 + LipoaffinityIndex * 22.01 + 399.71,0.4040333244889802,163.79573272782278,0-1-2-10
y = ALogP * 62.91 + AATS3m * -18.45 + AATS4m * 1.34 + C1SP3 * -12.30 + 1206.16,0.310628354817743,189.46719402991948,0-1-2-6
y = ALogP * -3.27 + AATS3m * -5.02 + AATS4m * 3.22 + nHaaCH * 42.84 + -154.07,0.2984581050123589,192.81207062498115,0-1-2-8
y = ALogP * 15.14 + AATS3m * -11.93 + AATS4m * 4.13 + WTPT-3 * -7.41 + 704.61,0.1841129134735331,224.23875134659292,0-1-2-13
y = ALogP * 52.49 + AATS3m * -12.83 + AATS4m * -4.43 + VE3_Dt * -5.30 + 1072.50,-0.15730564343020959,318.07437168051933,0-1-2-7
